Name,Train Size,Loss,Accuracy,Precision,Recall,PR AUC,ROC AUC,F1 Score
wgEncodeAwgTfbsHaibGm12878Tcf12Pcr1xUniPk,32027,0.2775198817253113,0.8844810128211975,0.8932273387908936,0.8764175176620483,0.9557499885559082,0.9556226134300232,0.8842672109603882
wgEncodeAwgTfbsHaibSknshraCtcfV0416102UniPk,62297,0.05144942179322243,0.9814838171005249,0.9777318239212036,0.9857698082923889,0.9977364540100098,0.9979155659675598,0.9815912246704102
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk,15298,0.1709960252046585,0.9345672726631165,0.9436371326446533,0.9242165684700012,0.9820808172225952,0.9823312759399414,0.933363139629364
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk,28904,0.14536356925964355,0.9497244954109192,0.9575480818748474,0.9412603378295898,0.9859470129013062,0.9864208698272705,0.9489203095436096
wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk,11238,0.26496216654777527,0.8890459537506104,0.8999885320663452,0.8862016797065735,0.9607646465301514,0.9602729082107544,0.8921986222267151
wgEncodeAwgTfbsUwHreCtcfUniPk,65317,0.08264889568090439,0.9727372527122498,0.9750872254371643,0.9700069427490234,0.9941038489341736,0.9946346879005432,0.9722775220870972
wgEncodeAwgTfbsSydhK562JundIggrabUniPk,62512,0.20013439655303955,0.9224934577941895,0.9256579279899597,0.9187166690826416,0.9756220579147339,0.9762400388717651,0.9216538667678833
wgEncodeAwgTfbsSydhHelas3Baf155IggmusUniPk,13587,0.455508291721344,0.7828134298324585,0.7927272319793701,0.7586737871170044,0.8743404150009155,0.8720390796661377,0.7742653489112854
wgEncodeAwgTfbsHaibHepg2Hnf4gsc6558V0416101UniPk,32011,0.2499409168958664,0.9017211198806763,0.9002209901809692,0.8978637456893921,0.9638345241546631,0.964311420917511,0.898530900478363
wgEncodeAwgTfbsHaibK562Ets1V0416101UniPk,16867,0.31213152408599854,0.8693800568580627,0.8580374717712402,0.8302517533302307,0.9439880847930908,0.9445711374282837,0.8431169986724854
wgEncodeAwgTfbsHaibA549Sin3ak20V0422111Etoh02UniPk,9513,0.3966946303844452,0.819327712059021,0.8226303458213806,0.8094679117202759,0.9024449586868286,0.90189528465271,0.8147788047790527
wgEncodeAwgTfbsSydhK562Pol2Ifng6hUniPk,25104,0.37056493759155273,0.831265926361084,0.8323774933815002,0.8293035626411438,0.9153405427932739,0.9146825075149536,0.8295767903327942
wgEncodeAwgTfbsHaibA549GabpV0422111Etoh02UniPk,18270,0.27961140871047974,0.8820703029632568,0.8977926969528198,0.8553342819213867,0.9542226791381836,0.9537184238433838,0.8753530979156494
wgEncodeAwgTfbsSydhGm08714Znf274UcdUniPk,844,0.5493300557136536,0.8156682252883911,0.8084918856620789,0.8210391998291016,0.9007365703582764,0.9049246907234192,0.8146690130233765
wgEncodeAwgTfbsSydhGm12878TbpIggmusUniPk,23268,0.3881012797355652,0.8183848857879639,0.8205678462982178,0.80906081199646,0.9075661301612854,0.9068776965141296,0.8134642839431763
wgEncodeAwgTfbsBroadH1hescCtcfUniPk,102546,0.11998394131660461,0.9577808976173401,0.9550679922103882,0.9602838754653931,0.9896232485771179,0.9902130961418152,0.9573783278465271
